trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
32,BTCUSDT,2025-09-05 08:00:00,2025-09-05 14:30:00,113010.79716,110940.502,111626.39531701,111626.39531701,0.01136484,0.0,1284.34997234,0.1575,100.0,2.2613,ADAPTIVE_BREAKOUT,1.28434997,1.26082139,False,-26.07375092,-2.0281,MARKET SEVERE SHOCK,9928.57921797
33,BTCUSDT,2025-09-07 14:00:00,2025-09-07 17:30:00,111270.237315,110967.70273886,110756.78294125,111023.21434603,0.03045551,0.0,3388.79127353,0.1575,95.0,1.8534,IGNITION,3.38879127,3.37957743,False,-15.98221201,-0.4711,STOP LOSS,9912.59700596
34,BTCUSDT,2025-09-08 09:00:00,2025-09-08 21:00:00,111740.10213,111851.75842705,110911.45024537,111907.71228319,0.01884065,0.0,2105.25617599,0.1575,100.0,1.9843,IGNITION,2.10525618,2.10735985,False,-2.1089388,-0.1001,STOP LOSS,8466.15680712
35,SOLUSDT,2025-09-08 10:00:00,2025-09-09 02:15:00,210.975435,212.54869072,208.5451594,212.65501823,9.18153096,2.29538274,1937.0774884,0.225,100.0,2.2525,ADAPTIVE_BREAKOUT,1.93707749,1.95882027,True,17.84688656,0.9204,STOP LOSS,9928.33495372
36,LINKUSDT,2025-09-09 04:00:00,2025-09-09 14:45:00,23.19159,23.22650049,22.8103434,23.23811955,58.5939746,0.0,1358.88743528,0.225,95.0,2.1027,IGNITION,1.35888744,1.36093298,False,-0.67427596,-0.0496,STOP LOSS,7844.85341708
37,ETHUSDT,2025-09-09 07:00:00,2025-09-09 14:45:00,4367.832825,4303.00644342,4305.15902293,4305.15902293,0.47637504,0.0,2080.72653415,0.3,100.0,2.0891,IGNITION,2.08072653,2.04984486,False,-35.01224148,-1.681,STOP LOSS,9892.64843628
38,ETHUSDT,2025-09-10 13:00:00,2025-09-10 16:30:00,4373.175495,4378.42958272,4320.35577048,4380.61989266,0.26248135,0.0,1147.87701105,0.14,100.0,2.2593,ADAPTIVE_BREAKOUT,1.14787701,1.14925611,False,-0.91803308,-0.0799,STOP LOSS,8203.87652862
39,SOLUSDT,2025-09-10 21:00:00,2025-09-11 03:00:00,222.641265,222.86373928,220.09288315,222.9752269,8.74469547,0.0,1946.93006081,0.225,95.0,2.0477,IGNITION,1.94693006,1.94887553,False,-1.95033573,-0.1001,STOP LOSS,8201.92619289
40,XRPUSDT,2025-09-11 10:00:00,2025-09-11 11:30:00,3.0287136,3.00815157,3.0096564,3.0096564,817.78451412,0.0,2476.83507979,0.1573,100.0,2.1478,ADAPTIVE_BREAKOUT,2.47683508,2.46001977,False,-21.75216183,-0.8773,STOP LOSS,8180.17403106
41,BTCUSDT,2025-09-10 08:00:00,2025-09-11 12:45:00,112609.926825,113806.92807,111569.36223652,113569.21375574,0.01497353,0.0,1686.16770688,0.1575,100.0,2.0269,IGNITION,1.68616771,1.70409104,False,14.53307094,0.861,MARKET SEVERE SHOCK,9882.56097658
42,LINKUSDT,2025-09-11 14:00:00,2025-09-12 12:15:00,23.801895,24.25600961,23.41899338,24.26814368,77.42898181,19.35724545,1842.95649505,0.3,100.0,1.819,PULLBACK,1.8429565,1.88391378,True,37.23041348,2.0181,STOP LOSS,7607.02932749
43,XRPUSDT,2025-09-12 13:00:00,2025-09-12 15:15:00,3.0429207,3.01949068,3.02100118,3.02100118,819.95418004,0.0,2495.05554749,0.1801,100.0,2.7502,PULLBACK,2.49505555,2.475844,False,-24.18244281,-0.9682,STOP LOSS,7582.84688468
44,BTCUSDT,2025-09-12 18:00:00,2025-09-12 20:30:00,115873.06758,115988.85374278,115387.32337087,116046.87718137,0.0222845,0.0,2582.17314639,0.1082,100.0,1.9947,ADAPTIVE_BREAKOUT,2.58217315,2.58475338,False,-2.58669001,-0.1001,STOP LOSS,7580.26019467
45,LINKUSDT,2025-09-13 09:00:00,2025-09-13 11:00:00,25.45272,25.1854584,25.19805743,25.19805743,98.81267758,0.0,2515.05141478,0.2501,100.0,2.2302,ADAPTIVE_BREAKOUT,2.51505141,2.48864258,False,-31.41252823,-1.2477,STOP LOSS,7548.84766644
46,ETHUSDT,2025-09-11 18:00:00,2025-09-13 14:00:00,4435.526655,4671.18810761,4387.01370238,4673.52487004,0.69903154,0.17475789,3100.57303822,0.3434,95.0,2.0538,IGNITION,3.10057304,3.24068412,True,133.76982673,4.31,STOP LOSS,7455.82249378
