signal_first_true_time,signal_evaluated_time,order_fill_time,signal_first_true_to_fill_hours,signal_evaluation_to_fill_minutes,symbol,route,quality_episode_id,emission_number_in_same_episode,stale_same_episode_retrigger,selection_rank,selection_score,raw_signal_close,raw_next_candle_open,slipped_entry_price,opening_gap_atr,theoretical_rr_at_signal_close,actual_rr_after_gap_and_slippage,estimated_round_trip_cost_percent,gross_projected_target_move_percent,cost_as_percent_of_projected_target_move,actual_trade_entered,entry_or_reject_reason
2025-09-12 01:00:00,2025-09-12 01:00:00,2025-09-12 01:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,8,1,False,1,100.0,232.99,232.99,233.106495,0.049833,2.4,2.328751,0.3,5.553612,5.4019,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2025-09-14 01:00:00,2025-09-14 01:00:00,2025-09-14 01:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,10,1,False,1,100.0,243.5,243.5,243.62175,0.062495,2.4,2.200015,0.3,1.869219,16.0495,False,MARKET_SHOCK_ENTRY_FREEZE
2025-09-18 17:00:00,2025-09-18 17:00:00,2025-09-18 17:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,11,1,False,1,100.0,249.83,249.82,249.94491,0.050504,2.4,2.236542,0.3,2.138773,14.0267,True,EXECUTED
2025-09-19 05:00:00,2025-09-19 05:00:00,2025-09-19 05:00:00,0.0,0.0,LINKUSDT,IGNITION,6,1,False,1,100.0,24.66,24.66,24.67233,0.049152,2.2,2.069567,0.3,2.537439,11.8229,True,EXECUTED
2025-09-29 21:00:00,2025-09-29 21:00:00,2025-09-29 21:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,12,1,False,1,100.0,214.42,214.41,214.517205,0.04306,2.4,2.260647,0.3,2.499314,12.0033,True,EXECUTED
2025-10-01 13:00:00,2025-10-01 13:00:00,2025-10-01 13:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,13,1,False,1,100.0,218.5,218.51,218.619255,0.048433,2.4,2.242936,0.3,2.648547,11.327,True,EXECUTED
2025-10-02 02:00:00,2025-10-02 02:00:00,2025-10-02 02:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,15,1,False,1,100.0,222.83,222.83,222.941415,0.049839,2.4,2.238592,0.3,2.356572,12.7304,False,EXISTING_OPEN_POSITION
2025-10-02 18:00:00,2025-10-02 18:00:00,2025-10-02 18:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,17,1,False,1,100.0,229.82,229.83,229.944915,0.04867,2.4,2.242201,0.3,2.624463,11.4309,False,EXISTING_OPEN_POSITION
2025-10-03 16:00:00,2025-10-03 16:00:00,2025-10-03 16:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,19,1,False,1,100.0,234.79,234.79,234.907395,0.04534,2.4,2.25253,0.3,2.595368,11.5591,True,EXECUTED
2025-10-05 05:00:00,2025-10-05 05:00:00,2025-10-05 05:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,20,1,False,1,100.0,233.78,233.79,233.906895,0.063461,2.4,2.246824,0.3,2.705569,11.0882,False,MARKET_SHOCK_ENTRY_FREEZE
2025-10-26 10:00:00,2025-10-26 10:00:00,2025-10-26 10:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,22,1,False,1,100.0,195.96,195.96,196.05798,0.084384,2.4,2.230437,0.3,2.235069,13.4224,True,EXECUTED
2025-10-27 01:00:00,2025-10-27 01:00:00,2025-10-27 01:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,25,1,False,1,100.0,203.25,203.24,203.34162,0.055182,2.4,2.236721,0.3,2.09857,14.2954,False,EXISTING_OPEN_POSITION
2025-10-28 09:00:00,2025-10-28 09:00:00,2025-10-28 09:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,26,1,False,1,100.0,203.42,203.42,203.52171,0.050384,2.4,2.236912,0.3,2.330558,12.8725,True,EXECUTED
