decision_time,symbol,route,valid,score,failed_checks
2026-05-24 12:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,36.0,market_state|trend_structure|breakout|momentum|candle_quality
2026-05-24 13:00:00,BTCUSDT,IGNITION,False,43.0,market_state|base_structure|reclaim|volume|relative_strength
2026-05-24 13:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|relative_strength
2026-05-24 13:00:00,ETHUSDT,IGNITION,False,47.0,market_state|base_structure|reclaim|volume
2026-05-24 13:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,40.0,market_state|trend_structure|breakout|candle_quality|volume
2026-05-24 13:00:00,SOLUSDT,IGNITION,False,47.0,market_state|base_structure|reclaim|volume
2026-05-24 13:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,40.0,market_state|trend_structure|breakout|candle_quality|volume
2026-05-24 13:00:00,XRPUSDT,IGNITION,False,48.0,market_state|base_structure|reclaim|relative_strength
2026-05-24 13:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|relative_strength
2026-05-24 13:00:00,LINKUSDT,IGNITION,False,47.0,market_state|base_structure|reclaim|volume
2026-05-24 13:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,30.0,market_state|trend_structure|breakout|momentum|candle_quality|volume
2026-05-24 13:00:00,DOGEUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
2026-05-24 13:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,30.0,market_state|trend_structure|breakout|momentum|candle_quality|volume
2026-05-24 14:00:00,BTCUSDT,IGNITION,False,38.0,market_state|asset_shock|base_structure|reclaim|relative_strength
2026-05-24 14:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,22.0,market_state|asset_shock|trend_structure|breakout|momentum|candle_quality|relative_strength
2026-05-24 14:00:00,ETHUSDT,IGNITION,False,42.0,market_state|asset_shock|base_structure|reclaim
