signal_first_true_time,signal_evaluated_time,order_fill_time,signal_first_true_to_fill_hours,signal_evaluation_to_fill_minutes,symbol,route,quality_episode_id,emission_number_in_same_episode,stale_same_episode_retrigger,selection_rank,selection_score,raw_signal_close,raw_next_candle_open,slipped_entry_price,opening_gap_atr,theoretical_rr_at_signal_close,actual_rr_after_gap_and_slippage,estimated_round_trip_cost_percent,gross_projected_target_move_percent,cost_as_percent_of_projected_target_move,actual_trade_entered,entry_or_reject_reason,decision_time,market_state,relative_strength_percentile,setup_score,selection_score_signal,candidate_emitted_after_route_cooldown,entry_time,exit_time,profit,exit_reason,buy_fee,sell_fees,partial_profit_taken,target_move_to_round_trip_cost_multiple,winner,loser,holding_hours,stop_type_exit,month
2025-10-01 13:00:00,2025-10-01 13:00:00,2025-10-01 13:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,13,1,False,1,100.0,218.5,218.51,218.619255,0.048433,2.4,2.242936,0.3,2.648547,11.327,True,EXECUTED,2025-10-01 13:00:00,STRONG_BULL,100.0,100.0,100.0,True,2025-10-01 13:00:00,2025-10-03 02:00:00,111.34776224,STOP LOSS,2.48030589,2.59673069,True,8.82849,True,False,37.0,True,2025-10
2025-10-03 16:00:00,2025-10-03 16:00:00,2025-10-03 16:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,19,1,False,1,100.0,234.79,234.79,234.907395,0.04534,2.4,2.25253,0.3,2.595368,11.5591,True,EXECUTED,2025-10-03 16:00:00,STRONG_BULL,100.0,100.0,100.0,True,2025-10-03 16:00:00,2025-10-03 17:15:00,-35.124626,STOP LOSS,2.50814283,2.47800436,False,8.651226666666668,False,True,1.25,True,2025-10
2025-10-26 10:00:00,2025-10-26 10:00:00,2025-10-26 10:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,22,1,False,1,100.0,195.96,195.96,196.05798,0.084384,2.4,2.230437,0.3,2.235069,13.4224,True,EXECUTED,2025-10-26 10:00:00,BULL,83.3333,100.0,100.0,True,2025-10-26 10:00:00,2025-10-27 08:30:00,40.04408268,STOP LOSS,2.24476349,2.28934168,True,7.450230000000001,True,False,22.5,True,2025-10
2025-10-28 09:00:00,2025-10-28 09:00:00,2025-10-28 09:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,26,1,False,1,100.0,203.42,203.42,203.52171,0.050384,2.4,2.236912,0.3,2.330558,12.8725,True,EXECUTED,2025-10-28 09:00:00,BULL,100.0,100.0,100.0,True,2025-10-28 09:00:00,2025-10-28 10:15:00,-27.96862545,STOP LOSS,2.1676881,2.14403119,False,7.768526666666666,False,True,1.25,True,2025-10
2025-12-08 10:00:00,2025-12-08 10:00:00,2025-12-08 10:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,28,1,False,1,100.0,138.14,138.14,138.20907,0.044242,2.4,2.29305,0.3,3.643041,8.2349,True,EXECUTED,2025-12-08 10:00:00,BULL,100.0,100.0,100.0,True,2025-12-08 10:00:00,2025-12-08 15:15:00,-20.00537384,STOP LOSS,1.41757256,1.40038514,False,12.14347,False,True,5.25,True,2025-12
2025-12-12 06:00:00,2025-12-12 06:00:00,2025-12-12 06:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,29,1,False,1,100.0,138.9,138.91,138.979455,0.047769,2.4,2.266755,0.3,3.306752,9.0723,True,EXECUTED,2025-12-12 06:00:00,BULL,100.0,100.0,100.0,True,2025-12-12 06:00:00,2025-12-12 15:15:00,-15.61981321,STOP LOSS,1.54074183,1.52819095,False,11.022506666666667,False,True,9.25,True,2025-12
2026-01-03 22:00:00,2026-01-03 22:00:00,2026-01-03 22:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,31,1,False,1,100.0,132.87,132.87,132.936435,0.077534,2.4,2.222219,0.3,2.123892,14.125,True,EXECUTED,2026-01-03 22:00:00,BULL,83.3333,100.0,100.0,True,2026-01-03 22:00:00,2026-01-04 19:15:00,10.00818846,STOP LOSS,2.3480203,2.36273925,True,7.07964,True,False,21.25,True,2026-01
2026-01-05 15:00:00,2026-01-05 15:00:00,2026-01-05 15:00:00,0.0,0.0,LINKUSDT,IGNITION,13,1,False,1,100.0,13.62,13.62,13.62681,0.048539,2.2,2.084184,0.3,2.877869,10.4244,True,EXECUTED,2026-01-05 15:00:00,STRONG_BULL,66.6667,98.0,100.0,True,2026-01-05 15:00:00,2026-01-06 00:45:00,15.09822084,STOP LOSS,2.16913581,2.18859176,True,9.592896666666666,True,False,9.75,True,2026-01
2026-01-06 15:00:00,2026-01-06 15:00:00,2026-01-06 15:00:00,0.0,0.0,LINKUSDT,IGNITION,14,1,False,2,58.75,14.1,14.1,14.10705,0.043631,2.2,2.137771,0.3,5.493794,5.4607,True,EXECUTED,2026-01-06 15:00:00,STRONG_BULL,66.6667,100.0,58.75,True,2026-01-06 15:00:00,2026-01-06 16:30:00,-21.67615907,MARKET SEVERE SHOCK,1.16725782,1.14789682,False,18.31264666666667,False,True,1.5,False,2026-01
2026-01-12 03:00:00,2026-01-12 03:00:00,2026-01-12 03:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,36,1,False,1,100.0,142.42,142.42,142.49121,0.057422,2.4,2.215368,0.3,2.038779,14.7147,True,EXECUTED,2026-01-12 03:00:00,BULL,100.0,100.0,100.0,True,2026-01-12 03:00:00,2026-01-12 03:45:00,-2.44360782,STOP LOSS,2.43934081,2.44177832,False,6.79593,False,True,0.75,True,2026-01
2026-01-12 16:00:00,2026-01-12 16:00:00,2026-01-12 16:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,37,1,False,1,100.0,142.58,142.58,142.65129,0.051673,2.4,2.232945,0.3,2.271178,13.209,True,EXECUTED,2026-01-12 16:00:00,BULL,100.0,100.0,100.0,True,2026-01-12 16:00:00,2026-01-12 17:00:00,-2.21042733,STOP LOSS,2.20656749,2.2087724,False,7.570593333333333,False,True,1.0,True,2026-01
