window,symbol,route,entry_time,exit_time,exit_reason,profit,realized_r,strict_mfe_r,strict_mae_r,strict_mfe_percent,strict_mae_percent,reached_0_5r,reached_1r,reached_2r,partial_profit_taken,bars_before_exit
2023,LINKUSDT,IGNITION,2023-01-21 17:00:00,2023-01-21 23:00:00,MARKET SEVERE SHOCK,-16.03899704,-0.5381655188650902,0.6836695641561069,0.6499649819898751,1.4501325666497795,1.3786417254494596,True,False,False,False,24
2023,LINKUSDT,IGNITION,2023-01-23 01:00:00,2023-01-23 15:00:00,MARKET SEVERE SHOCK,-32.06772478,-1.0777264474257355,0.5628509087817113,1.3093776809679625,1.6217119830808466,3.772639330369952,True,False,False,False,56
2023,LINKUSDT,IGNITION,2023-01-24 11:00:00,2023-01-24 13:45:00,STOP LOSS,-34.31495049,-1.2177261377809403,0.3999737661491419,1.3382654123565605,0.45602989533218813,1.5258226603193914,False,False,False,False,11
2023,LINKUSDT,IGNITION,2023-01-26 17:00:00,2023-01-27 01:30:00,STOP LOSS,24.10974621,0.8157357695148959,2.4241718452735057,0.28683207248076964,4.402396174842336,0.5208988880773718,True,True,True,True,34
2023,LINKUSDT,IGNITION,2023-01-29 15:00:00,2023-01-29 16:15:00,STOP LOSS,-35.3563306,-1.1933354011413668,0.03480372301841986,1.0399706481226592,0.04464903063750562,1.3341584549894325,False,False,False,False,5
2023,LINKUSDT,IGNITION,2023-02-03 15:00:00,2023-02-04 05:30:00,STOP LOSS,-31.50444194,-1.067148152069002,0.5754393106806518,1.0431400255888172,1.037785281487924,1.8812676593236612,True,False,False,False,58
2023,LINKUSDT,IGNITION,2023-02-08 12:00:00,2023-02-08 15:15:00,STOP LOSS,-40.41585721,-1.3734008643015783,0.801274261379546,1.3844227875765474,0.9735929156927238,1.6821508979802926,True,False,False,False,13
2023,LINKUSDT,IGNITION,2023-02-17 09:00:00,2023-02-17 15:00:00,STOP LOSS,-0.1410236,-0.004812052771250585,1.0514766028919678,0.5431221149969047,1.6172365981332426,0.8353556885742434,True,True,False,False,24
2023,SOLUSDT,ADAPTIVE_BREAKOUT,2023-02-18 02:00:00,2023-02-18 07:15:00,STOP LOSS,-34.68374936,-1.183507184222897,0.05717244933898392,1.1983301438859353,0.07724182032870466,1.618982617303994,False,False,False,False,21
2023,LINKUSDT,IGNITION,2023-02-20 10:00:00,2023-02-20 16:30:00,STOP LOSS,-32.01583404,-1.0963630496049428,0.1474453299419419,1.1027586036100077,0.3765889278260553,2.8165468539964884,False,False,False,False,26
2023,LINKUSDT,IGNITION,2023-03-14 20:00:00,2023-03-14 20:45:00,STOP LOSS,-33.6781148,-1.1570926100178036,0.14948491574894038,1.0373347183790236,0.23559648747054668,1.6348968372956323,False,False,False,False,3
2023,LINKUSDT,IGNITION,2023-03-19 15:00:00,2023-03-19 20:45:00,STOP LOSS,-1.59359775,-0.05494260662122897,1.423902848702416,0.6497760847092221,2.1384044819695354,0.9758278755359158,True,True,False,False,23
2023,LINKUSDT,IGNITION,2023-03-21 20:00:00,2023-03-22 00:45:00,STOP LOSS,-1.55915053,-0.053763826305781526,1.3807669028344571,0.10051729244536951,2.572700461144611,0.18728786451670476,True,True,False,False,19
2023,LINKUSDT,IGNITION,2023-03-23 09:00:00,2023-03-23 19:00:00,STOP LOSS,9.5139755,0.4374948595008683,1.7748582879695105,0.6607187185982614,3.33403179233785,1.241145407794479,True,True,False,False,40
2023,SOLUSDT,ADAPTIVE_BREAKOUT,2023-03-29 05:00:00,2023-03-29 15:15:00,STOP LOSS,11.29711727,0.38923557669800496,2.4438421097902743,0.4602850484872647,3.0570319813789815,0.5757761960722162,True,True,True,True,41
2023,LINKUSDT,IGNITION,2023-03-30 11:00:00,2023-03-30 14:00:00,STOP LOSS,-34.22022446,-1.1776626879723562,0.13856384017100917,1.0240063972364883,0.1933110523845627,1.428596046804181,False,False,False,False,12
2023,LINKUSDT,IGNITION,2023-03-31 08:00:00,2023-04-01 06:45:00,STOP LOSS,-2.40887862,-0.11092483692767877,0.9098150081667933,0.611349977854848,2.332005346015592,1.5669904363488534,True,False,False,False,91
2023,LINKUSDT,IGNITION,2023-04-05 01:00:00,2023-04-05 11:00:00,STOP LOSS,-10.72044386,-0.3703363250219786,0.5037970582292004,0.2940842890129566,1.1334162637983858,0.6616154474312699,True,False,False,False,40
