trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade,total_fees,hold_hours,period,month,feature_time,close,EMA20,EMA50,EMA200,RSI14,ADX14,ATR14,VOLUME_RATIO,MOMENTUM_24H,MOMENTUM_72H,EMA50_SLOPE_12H,daily_close,daily_ema20,daily_ema50,daily_momentum_20d,daily_ema20_slope_3d,daily_macro_bull,daily_recovery,hourly_stack,ema20_extension_percent,ema200_distance_percent,momentum_confirmed,trend_quality,strict_macro_trend,winner
12,SOLUSDT,2025-10-03 16:00:00,2025-10-03 17:15:00,234.907395,232.08468831,232.20078871,232.20078871,10.67715571,0.0,2508.14283473,0.2881,100.0,2.2525,ADAPTIVE_BREAKOUT,2.50814283,2.47800436,False,-35.124626,-1.399,STOP LOSS,9997.44671291,4.9861471900000005,1.25,DEVELOPMENT,2025-10,2025-10-03 16:00:00,234.79,230.63311572921828,226.53844975810574,217.34263863038166,66.03356819512398,25.562098183177767,2.5892112907848506,1.765267619648914,3.349766704815549,13.975728155339805,1.223525001441228,233.13,218.36988667908895,210.78934119693918,-3.329739591972136,0.4385793152108297,False,False,True,1.802379618225438,8.027583303288113,True,True,False,False
13,SOLUSDT,2025-10-26 10:00:00,2025-10-27 08:30:00,196.05798,199.97283096,194.09332838,200.07286739,11.44948799,2.862372,2244.76348791,0.225,100.0,2.2304,ADAPTIVE_BREAKOUT,2.24476349,2.28934168,True,40.04408268,1.7821,STOP LOSS,10037.49079558,4.53410517,22.5,DEVELOPMENT,2025-10,2025-10-26 10:00:00,195.96,193.7196802728428,192.8139785541049,191.16949000092023,64.96083864094905,15.745387466760537,1.1611193624019278,3.303964154105964,1.755114757503362,4.018259992568618,0.3077195881705519,194.51,196.8383205546349,203.34218518380717,-14.808163980378419,-0.6704506356697504,False,False,True,1.1564750282479588,2.5058967302035033,True,False,False,True
14,SOLUSDT,2025-10-28 09:00:00,2025-10-28 10:15:00,203.52171,201.30059064,201.40129129,201.40129129,10.65089369,0.0,2167.68809661,0.225,100.0,2.2369,ADAPTIVE_BREAKOUT,2.1676881,2.14403119,False,-27.96862545,-1.289,STOP LOSS,10009.52217014,4.31171929,1.25,DEVELOPMENT,2025-10,2025-10-28 09:00:00,203.42,200.77484449689797,199.48489948677883,194.68295228119192,60.524714781323915,16.03655834544749,2.0187087131696506,1.1760571124834367,1.471541876589999,4.392897464846546,0.3471177330631736,198.3,197.267196644497,203.0260617556021,-10.872398759494805,0.09325478920525487,False,False,True,1.3174735658395125,4.4878339969843095,True,False,False,False
15,SOLUSDT,2025-12-08 10:00:00,2025-12-08 15:15:00,138.20907,135.94529201,136.01329866,136.01329866,10.25672596,0.0,1417.57255553,0.225,100.0,2.293,ADAPTIVE_BREAKOUT,1.41757256,1.40038514,False,-20.00537384,-1.4098,STOP LOSS,9989.5167963,2.8179577,5.25,DEVELOPMENT,2025-12,2025-12-08 10:00:00,138.14,134.56671629562206,134.06413102805965,135.45280256075048,66.63676881893599,18.476462837995538,1.5611688980256893,1.1849104744693701,4.738797482750767,1.3202288396655382,0.3062116434724871,131.26,138.90916596879322,154.8903476877136,-0.038077831086746894,-1.713346467848631,False,False,False,2.655399345948208,1.9838625620494605,True,False,False,False
16,SOLUSDT,2025-12-12 06:00:00,2025-12-12 15:15:00,138.979455,137.84732859,136.95201631,137.91628673,11.08611219,0.0,1540.74182995,0.225,100.0,2.2668,ADAPTIVE_BREAKOUT,1.54074183,1.52819095,False,-15.61981321,-1.0128,STOP LOSS,9973.89698309,3.06893278,9.25,DEVELOPMENT,2025-12,2025-12-12 06:00:00,138.9,135.39552455412394,134.98285929322634,135.38554590070035,68.71511378225446,29.685072460252567,1.663306153037894,1.1546837083923809,5.876972330208097,5.147615442846343,0.7075919441838607,136.17,138.15037632580615,152.18074448349415,8.51063829787233,-0.1815369035268466,False,False,False,2.5883244349595653,2.595885754212906,True,False,False,False
17,SOLUSDT,2026-01-03 22:00:00,2026-01-04 19:15:00,132.936435,133.22309713,131.66589139,133.289742,17.66272957,4.41568239,2348.02030157,0.225,100.0,2.2222,ADAPTIVE_BREAKOUT,2.3480203,2.36273925,True,10.00818846,0.4258,STOP LOSS,9983.90517155,4.710759550000001,21.25,DEVELOPMENT,2026-01,2026-01-03 22:00:00,132.87,131.55193645173944,130.12837134503553,126.877625195217,64.93631512314775,21.12889836781694,0.8568476852265844,1.1156739333415249,0.7201334141904381,6.757191065402557,0.7516786759205196,132.64,126.99276592595427,136.6621203514582,-0.15807301467821722,0.31239434953191925,False,False,True,1.001933976657278,4.7229563097220515,True,True,False,True
18,LINKUSDT,2026-01-05 15:00:00,2026-01-06 00:45:00,13.62681,13.66017984,13.4386492,13.66701334,159.1814821,39.79537053,2169.13581212,0.3,98.0,2.0842,IGNITION,2.16913581,2.18859176,True,15.09822084,0.6954,STOP LOSS,9999.00339239,4.35772757,9.75,DEVELOPMENT,2026-01,2026-01-05 15:00:00,13.62,13.529844483110374,13.408875851274766,12.939132917392083,56.76336471865729,15.349736904775847,0.1403004403600318,2.316040167485876,1.4147431124348353,4.20811017597551,0.6547563549065716,13.42,12.813637807594068,13.566494869600815,5.007824726134591,1.4740936475878152,False,True,True,0.6663455518810198,5.262076577733671,True,False,False,True
19,LINKUSDT,2026-01-06 15:00:00,2026-01-06 16:30:00,14.10705,13.783105,13.74451713,13.74451713,82.74287119,0.0,1167.25782105,0.3,100.0,2.1378,IGNITION,1.16725782,1.14789682,False,-21.67615907,-1.8552,MARKET SEVERE SHOCK,9977.32723332,2.31515464,1.5,DEVELOPMENT,2026-01,2026-01-06 15:00:00,14.1,13.833090501207026,13.683041911720633,13.133243024140798,65.37965287378746,12.5319704288068,0.16158312059571367,2.9622527377850214,3.524229074889873,7.715813598166532,0.7691061894792517,14.01,12.927577064013681,13.583887227655685,8.436532507739948,1.8062841761049775,False,True,True,1.9295001270300636,7.361144342506741,True,False,False,False
20,SOLUSDT,2026-01-12 03:00:00,2026-01-12 03:45:00,142.49121,142.63359434,141.179879,142.70494681,17.11923709,0.0,2439.34080692,0.225,100.0,2.2154,ADAPTIVE_BREAKOUT,2.43934081,2.44177832,False,-2.44360782,-0.1001,STOP LOSS,9974.8836255,4.88111913,0.75,DEVELOPMENT,2026-01,2026-01-12 03:00:00,142.42,139.07656470161513,137.9368940675487,135.85846791926863,72.13286739061266,40.26152840732773,1.240120999147185,1.2533655169376439,4.712888758179545,2.47517628435745,0.8858169451642528,138.23,132.94484764754836,136.74352499169652,9.828380740505317,1.005431862855266,False,True,True,2.4040249380318732,4.829682081083398,True,True,False,False
21,SOLUSDT,2026-01-12 16:00:00,2026-01-12 17:00:00,142.65129,142.7938343,141.20035204,142.86526694,15.46826172,0.0,2206.56748903,0.225,100.0,2.2329,ADAPTIVE_BREAKOUT,2.20656749,2.2087724,False,-2.21042733,-0.1001,STOP LOSS,9972.67319817,4.41533989,1.0,DEVELOPMENT,2026-01,2026-01-12 16:00:00,142.58,140.33287861304396,139.13999984525083,136.48188223721618,64.97415437960794,31.803470423684743,1.3796479629942993,1.1837451336881335,2.9979050783789596,2.70854343754503,0.7403786634749165,138.23,132.94484764754836,136.74352499169652,9.828380740505317,1.005431862855266,False,True,True,1.6012793360793944,4.468078592427985,True,True,False,False
