symbol,feature,window,bucket,trades,false_rate_pct,runner_rate_pct,median_mfe_r,avg_realized_r,net_pnl
LINKUSDT,ema50_distance_atr,2022,LOW,7,14.285714285714285,14.285714285714285,1.4022057741748477,-0.29310411508877543,-53.320457000000005
LINKUSDT,ema50_distance_atr,2022,MID,8,37.5,37.5,0.8919800811001817,-0.19443257689701965,-51.503090730000004
LINKUSDT,ema50_distance_atr,2022,HIGH,8,12.5,12.5,0.7971697591829582,-0.5986407495441062,-112.68848867
LINKUSDT,ema50_distance_atr,2023,LOW,8,25.0,12.5,1.2896444881242206,-0.31032844209147814,-73.89697807
LINKUSDT,ema50_distance_atr,2023,MID,8,50.0,0.0,0.36259589822770727,-0.9642916914435021,-221.46855344
LINKUSDT,ema50_distance_atr,2023,HIGH,8,37.5,0.0,0.5427177388722122,-0.7663282190503449,-167.20860049
LINKUSDT,ema50_distance_atr,2024,LOW,13,46.15384615384615,30.76923076923077,0.5209251421422528,0.5270057527245497,152.78334558
LINKUSDT,ema50_distance_atr,2024,MID,13,46.15384615384615,15.384615384615385,0.5546022360742658,-0.7571637886916935,-249.86723686
LINKUSDT,ema50_distance_atr,2024,HIGH,14,21.428571428571427,35.714285714285715,1.2177243049686914,0.14187888776570995,68.38379232
LINKUSDT,ema50_distance_atr,2025h1,LOW,5,0.0,40.0,1.2776038039740238,-0.13308145838688,-14.57429784
LINKUSDT,ema50_distance_atr,2025h1,MID,5,60.0,0.0,0.2302934596657418,-0.629034780143049,-95.51583138
LINKUSDT,ema50_distance_atr,2025h1,HIGH,6,50.0,0.0,0.5305041465101098,-0.9378761761728273,-145.7611685
LINKUSDT,volume_ratio,2021,LOW,4,25.0,0.0,0.6486650787010666,-0.9021868004983581,-109.55637238
LINKUSDT,volume_ratio,2021,MID,4,25.0,50.0,1.4009450949058935,-0.15524263947349784,-23.568305170000002
LINKUSDT,volume_ratio,2021,HIGH,5,20.0,20.0,0.647915171938098,-0.333694858465783,-49.02331652
LINKUSDT,volume_ratio,2022,LOW,7,57.14285714285714,0.0,0.4036072646668848,-0.8723063820225976,-152.20237008
LINKUSDT,volume_ratio,2022,MID,8,0.0,25.0,1.119824875297334,-0.40125140166272444,-79.42041065000001
LINKUSDT,volume_ratio,2022,HIGH,8,12.5,37.5,1.2749035193269282,0.11498005878869288,14.110744330000003
LINKUSDT,volume_ratio,2023,LOW,8,62.5,0.0,0.37233286766757545,-0.9109535677640235,-210.26217437999998
LINKUSDT,volume_ratio,2023,MID,8,25.0,12.5,0.6326539918356655,-0.36269540267149036,-81.23604928
LINKUSDT,volume_ratio,2023,HIGH,8,25.0,0.0,0.5691451097311815,-0.7672993821498113,-171.07590834
LINKUSDT,volume_ratio,2024,LOW,13,53.84615384615385,7.6923076923076925,0.4739311115913677,-0.42446540918213754,-130.17650644
LINKUSDT,volume_ratio,2024,MID,13,23.076923076923077,46.15384615384615,1.4364452454577958,0.5722579326198833,169.86227180000003
LINKUSDT,volume_ratio,2024,HIGH,14,35.714285714285715,28.57142857142857,0.7385440466268199,-0.20907520311025896,-68.38586432
LINKUSDT,volume_ratio,2025h1,LOW,5,40.0,0.0,0.6901444052052068,-1.0819327575789628,-139.48177347
LINKUSDT,volume_ratio,2025h1,MID,5,40.0,40.0,1.158168519181448,-0.1497815574710446,-27.132032619999997
LINKUSDT,volume_ratio,2025h1,HIGH,6,33.33333333333333,0.0,1.0249518599015512,-0.5465444457394285,-89.23749163
LINKUSDT,rsi14,2021,LOW,4,50.0,25.0,0.5859608513252973,-0.4478414621426706,-59.07794144
LINKUSDT,rsi14,2021,MID,4,0.0,25.0,0.6315828900622096,-0.3779002579273536,-46.00458548
LINKUSDT,rsi14,2021,HIGH,5,20.0,20.0,0.682079549215812,-0.5190450343872482,-77.06546714999999
LINKUSDT,rsi14,2022,LOW,7,0.0,28.57142857142857,1.4022057741748477,-0.16512440830465813,-33.73917937000001
LINKUSDT,rsi14,2022,MID,8,50.0,25.0,0.4724382697632926,-0.40108585995859763,-87.73083227
LINKUSDT,rsi14,2022,HIGH,8,12.5,12.5,0.9780661232670194,-0.5039697099186309,-96.04202476
LINKUSDT,rsi14,2023,LOW,8,37.5,0.0,0.8134579567863098,-0.5533842775855683,-130.80882181
LINKUSDT,rsi14,2023,MID,8,50.0,12.5,0.45377143898386013,-0.7627064252556754,-178.50858356999998
LINKUSDT,rsi14,2023,HIGH,8,25.0,0.0,0.5675791757293555,-0.7248576497440815,-153.25672662
LINKUSDT,rsi14,2024,LOW,13,38.46153846153847,30.76923076923077,0.6390039016738166,0.3699423416734872,103.10318769999999
LINKUSDT,rsi14,2024,MID,13,46.15384615384615,15.384615384615385,0.5209251421422528,-0.48836982605010265,-160.43383992
LINKUSDT,rsi14,2024,HIGH,14,28.57142857142857,35.714285714285715,1.195705440538235,0.03812908986021933,28.630553260000013
LINKUSDT,rsi14,2025h1,LOW,5,20.0,20.0,0.9929728031407524,-0.5001598913485105,-68.66109202
LINKUSDT,rsi14,2025h1,MID,5,40.0,20.0,0.6901444052052068,-0.561150002745587,-80.07204497999999
LINKUSDT,rsi14,2025h1,HIGH,6,50.0,0.0,0.6221930324986662,-0.6885481298693538,-107.11816072
LINKUSDT,candle_range_atr,2021,LOW,4,0.0,25.0,0.7367210250098682,-0.4634822263975148,-61.210626909999995
LINKUSDT,candle_range_atr,2021,MID,4,50.0,25.0,0.4423645914500587,-0.6048830500651996,-73.66204815
LINKUSDT,candle_range_atr,2021,HIGH,5,20.0,20.0,0.647915171938098,-0.32494618927309604,-47.27531901
LINKUSDT,candle_range_atr,2022,LOW,7,14.285714285714285,0.0,0.6541786752540278,-0.9062681647495724,-148.89341517
LINKUSDT,candle_range_atr,2022,MID,8,50.0,25.0,0.9084531278369248,-0.3820042007386114,-85.07981441
LINKUSDT,candle_range_atr,2022,HIGH,8,0.0,37.5,1.2749035193269282,0.12544941775068316,16.461193180000002
LINKUSDT,candle_range_atr,2023,LOW,8,62.5,0.0,0.2858228153305347,-0.7746480700174057,-178.88065932
LINKUSDT,candle_range_atr,2023,MID,8,37.5,0.0,0.6185947480497969,-0.645665893636914,-147.4488258
LINKUSDT,candle_range_atr,2023,HIGH,8,12.5,12.5,0.578538865097938,-0.6206343889310055,-136.24464688
LINKUSDT,candle_range_atr,2024,LOW,13,38.46153846153847,30.76923076923077,0.8205040430534911,0.6064582874392895,193.50404008
LINKUSDT,candle_range_atr,2024,MID,13,38.46153846153847,23.076923076923077,0.5249583127551873,-0.4790654002410273,-168.84821099
LINKUSDT,candle_range_atr,2024,HIGH,14,35.714285714285715,28.57142857142857,0.9313876523252247,-0.19013268374502415,-53.355928049999996
LINKUSDT,candle_range_atr,2025h1,LOW,5,20.0,20.0,0.8735221771823196,-0.6104951577585271,-82.48630812
LINKUSDT,candle_range_atr,2025h1,MID,5,60.0,0.0,0.09916189675186,-1.05290314485717,-138.30501719
LINKUSDT,candle_range_atr,2025h1,HIGH,6,33.33333333333333,16.666666666666664,1.167267360318187,-0.18680778943468737,-35.05997241
SOLUSDT,adx14,2022,LOW,2,50.0,50.0,4.048648545061341,1.2841796209432417,55.813593280000006
SOLUSDT,adx14,2022,MID,3,66.66666666666666,0.0,0.4345569221586881,-1.6782861326216851,-119.55176133
