trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade,period,risk_per_unit,initial_risk_eur,realized_r,hold_hours,current_mfe_r,current_mae_r,forward_48h_mfe_r,forward_48h_mae_r,post_exit_additional_mfe_r,0_5r_target_time,0_5r_stop_time,0_5r_first_outcome,hit_0_5r_before_stop_48h,1r_target_time,1r_stop_time,1r_first_outcome,hit_1r_before_stop_48h,1_5r_target_time,1_5r_stop_time,1_5r_first_outcome,hit_1_5r_before_stop_48h,2r_target_time,2r_stop_time,2r_first_outcome,hit_2r_before_stop_48h,3r_target_time,3r_stop_time,3r_first_outcome,hit_3r_before_stop_48h,stop_before_0_5r_48h,hit_1r_then_revisit_entry,current_exit_before_2r,future_reached_2r_after_exit,path_classification
21,SOLUSDT,2026-01-12 16:00:00,2026-01-12 17:00:00,142.65129,142.7938343,141.20035204,142.86526694,15.46826172,0.0,2206.56748903,0.225,100.0,2.2329,ADAPTIVE_BREAKOUT,2.20656749,2.2087724,False,-2.21042733,-0.1001,STOP LOSS,9972.67319817,DEVELOPMENT,1.450937959999976,22.44348810476252,-0.09848858250919322,1.0,1.1569826183333514,0.3730621259643549,4.1963958266004155,3.3297702129180458,1.210365810540965,2026-01-12 16:30:00,2026-01-12 17:45:00,TARGET_FIRST,True,2026-01-12 16:45:00,2026-01-12 17:45:00,TARGET_FIRST,True,2026-01-13 22:15:00,2026-01-12 17:45:00,STOP_FIRST,False,2026-01-13 22:15:00,2026-01-12 17:45:00,STOP_FIRST,False,2026-01-13 22:15:00,2026-01-12 17:45:00,STOP_FIRST,False,False,True,True,True,ONE_R_BREAKEVEN_TRAP
22,LINKUSDT,2026-01-15 13:00:00,2026-01-15 14:45:00,14.097045,14.002995,13.90297959,13.90297959,154.16461636,0.0,2173.2655343,0.3,99.0,2.0838,IGNITION,2.17326553,2.15876635,False,-18.83121406,-0.8656,MARKET SEVERE SHOCK,9953.84198412,DEVELOPMENT,0.19406541000000033,29.918019481396158,-0.6294271608356217,1.75,0.6335750404979478,0.6031213908753702,0.6335750404979478,3.437217379439225,0.448328220881812,2026-01-15 14:15:00,2026-01-15 15:30:00,TARGET_FIRST,True,,2026-01-15 15:30:00,STOP_FIRST,False,,2026-01-15 15:30:00,STOP_FIRST,False,,2026-01-15 15:30:00,STOP_FIRST,False,,2026-01-15 15:30:00,STOP_FIRST,False,False,False,True,False,REACHED_0_5R_NOT_1R
23,LINKUSDT,2026-02-26 10:00:00,2026-02-26 15:00:00,9.30465,9.14006612,9.14463844,9.14463844,139.96579051,0.0,1302.33269271,0.225,100.0,2.107,IGNITION,1.30233269,1.27929658,False,-25.61774201,-1.9651,STOP LOSS,9928.22424211,DEVELOPMENT,0.16001156000000094,22.39614448613843,-1.14384607698238,5.0,0.1584260537176151,1.3414655791119054,0.1584260537176151,6.778572748118908,0.9995145350748382,,2026-02-26 15:00:00,STOP_FIRST,False,,2026-02-26 15:00:00,STOP_FIRST,False,,2026-02-26 15:00:00,STOP_FIRST,False,,2026-02-26 15:00:00,STOP_FIRST,False,,2026-02-26 15:00:00,STOP_FIRST,False,True,False,True,False,FAILED_BEFORE_0_5R
24,LINKUSDT,2026-03-05 15:00:00,2026-03-05 15:15:00,9.394695,9.27536,9.2444925,9.2444925,198.2967817,0.0,1862.93778358,0.3,100.0,2.1,IGNITION,1.86293778,1.83927404,False,-27.36595827,-1.4675,MARKET SEVERE SHOCK,9900.85828384,DEVELOPMENT,0.15020250000000068,29.784672353294386,-0.918793329179367,0.25,0.10189577403837892,1.029909622010283,0.10189577403837892,4.824786538173448,0.36377556964764673,,2026-03-05 15:15:00,STOP_FIRST,False,,2026-03-05 15:15:00,STOP_FIRST,False,,2026-03-05 15:15:00,STOP_FIRST,False,,2026-03-05 15:15:00,STOP_FIRST,False,,2026-03-05 15:15:00,STOP_FIRST,False,True,False,True,False,FAILED_BEFORE_0_5R
25,SOLUSDT,2026-03-10 16:00:00,2026-03-10 18:15:00,88.38417,87.1311526,87.17473997,87.17473997,18.41936338,0.0,1627.98014409,0.225,100.0,2.2477,ADAPTIVE_BREAKOUT,1.62798014,1.60490036,False,-26.31266325,-1.6147,STOP LOSS,9874.54562059,DEVELOPMENT,1.209430029999993,22.276931205254172,-1.181161938669271,2.25,0.34382311476092764,1.1114078257177054,0.34382311476092764,3.327327666901095,0.6109054527114859,,2026-03-10 18:15:00,STOP_FIRST,False,,2026-03-10 18:15:00,STOP_FIRST,False,,2026-03-10 18:15:00,STOP_FIRST,False,,2026-03-10 18:15:00,STOP_FIRST,False,,2026-03-10 18:15:00,STOP_FIRST,False,True,False,True,False,FAILED_BEFORE_0_5R
26,SOLUSDT,2026-03-13 13:00:00,2026-03-13 15:00:00,91.0455,91.13647722,89.81895996,91.18206825,24.15219718,0.0,2198.94886827,0.3,100.0,2.2739,ADAPTIVE_BREAKOUT,2.19894887,2.20114617,False,-2.20279538,-0.1001,STOP LOSS,9872.34282521,DEVELOPMENT,1.2265400400000033,29.62363689524517,-0.07435938361618138,2.0,1.5772008551795786,0.4773590595542309,1.5772008551795786,3.6978001957441085,0.0844022833530908,2026-03-13 13:30:00,2026-03-13 15:45:00,TARGET_FIRST,True,2026-03-13 14:00:00,2026-03-13 15:45:00,TARGET_FIRST,True,2026-03-13 14:30:00,2026-03-13 15:45:00,TARGET_FIRST,True,,2026-03-13 15:45:00,STOP_FIRST,False,,2026-03-13 15:45:00,STOP_FIRST,False,False,True,True,False,ONE_R_BREAKEVEN_TRAP
27,LINKUSDT,2026-03-15 00:00:00,2026-03-15 13:15:00,9.174585,9.1837527,9.05514741,9.18834688,185.97805569,0.0,1706.2714801,0.225,100.0,2.0772,IGNITION,1.70627148,1.70797647,False,-1.70925618,-0.1001,STOP LOSS,9870.63356903,DEVELOPMENT,0.11943759000000043,22.212770764499464,-0.07694925581871757,13.25,1.2174977743606459,0.5407426589903629,7.58065362839284,0.5407426589903629,5.410753013351981,2026-03-15 03:00:00,,TARGET_FIRST,True,2026-03-15 09:15:00,,TARGET_FIRST,True,2026-03-15 22:15:00,,TARGET_FIRST,True,2026-03-15 22:45:00,,TARGET_FIRST,True,2026-03-15 23:15:00,,TARGET_FIRST,True,False,True,True,True,REACHED_2R
28,SOLUSDT,2026-03-15 22:00:00,2026-03-16 01:15:00,90.045,91.5270037,88.57988168,91.57279009,20.21126915,5.05281729,1819.92373065,0.3,100.0,2.2956,ADAPTIVE_BREAKOUT,1.81992373,1.85695967,True,33.35905525,1.8312,STOP LOSS,9903.99262428,DEVELOPMENT,1.465118320000002,29.611900702115868,1.1265421826710496,3.25,2.1738858606313776,0.13992044000923967,5.211183216929534,0.13992044000923967,4.199658291079183,2026-03-15 22:15:00,,TARGET_FIRST,True,2026-03-15 22:45:00,,TARGET_FIRST,True,2026-03-15 22:45:00,,TARGET_FIRST,True,2026-03-15 23:15:00,,TARGET_FIRST,True,2026-03-16 13:45:00,,TARGET_FIRST,True,False,False,False,False,REACHED_2R
29,SOLUSDT,2026-03-16 21:00:00,2026-03-16 23:15:00,95.817885,95.91363102,94.70658914,95.96161183,25.84066801,0.0,2475.99815607,0.29,100.0,2.2841,ADAPTIVE_BREAKOUT,2.47599816,2.4784723,False,-2.4803293,-0.1001,STOP LOSS,9901.51229499,DEVELOPMENT,1.1112958599999985,28.7166273791474,-0.08637258363428475,2.25,1.6756248871475192,0.3670354715440116,1.6756248871475192,6.540009066532487,0.9325770186888012,2026-03-16 21:45:00,2026-03-17 03:30:00,TARGET_FIRST,True,2026-03-16 22:15:00,2026-03-17 03:30:00,TARGET_FIRST,True,2026-03-16 22:15:00,2026-03-17 03:30:00,TARGET_FIRST,True,,2026-03-17 03:30:00,STOP_FIRST,False,,2026-03-17 03:30:00,STOP_FIRST,False,False,True,True,False,ONE_R_BREAKEVEN_TRAP
30,SOLUSDT,2026-03-17 19:00:00,2026-03-18 00:30:00,95.377665,94.20306068,94.25018577,94.25018577,25.95343547,0.0,2475.37807375,0.2955,100.0,2.2261,ADAPTIVE_BREAKOUT,2.47537807,2.44489306,False,-35.4052885,-1.4289,STOP LOSS,9866.10700648,DEVELOPMENT,1.1274792299999916,29.26195943957007,-1.2099425048112973,5.5,0.21493522324133021,1.1154662245973241,0.2415432521981043,7.430438430338141,1.2833401108417966,,2026-03-18 00:30:00,STOP_FIRST,False,,2026-03-18 00:30:00,STOP_FIRST,False,,2026-03-18 00:30:00,STOP_FIRST,False,,2026-03-18 00:30:00,STOP_FIRST,False,,2026-03-18 00:30:00,STOP_FIRST,False,True,False,True,False,FAILED_BEFORE_0_5R
