decision_time,state,score,btc_score,eth_score,breadth_score,new_entries_allowed,altcoins_allowed,risk_multiplier,reasons
2026-05-01 00:00:00,BEAR,40.13666666666666,44.5,30.3,33.33333333333333,False,False,0.0,BTC composite 44.5 | ETH confirmation 30.3 | breadth 33.3
2026-07-03 20:00:00,BULL,76.23500000000001,65.4,91.5,100.0,True,True,0.75,BTC composite 65.4 | ETH confirmation 91.5 | breadth 100.0
2026-07-03 21:00:00,BULL,75.275,64.19999999999999,90.3,100.0,True,True,0.75,BTC composite 64.2 | ETH confirmation 90.3 | breadth 100.0
2026-07-03 22:00:00,BULL,75.005,64.19999999999999,88.5,100.0,True,True,0.75,BTC composite 64.2 | ETH confirmation 88.5 | breadth 100.0
2026-07-03 23:00:00,BULL,75.965,65.4,89.7,100.0,True,True,0.75,BTC composite 65.4 | ETH confirmation 89.7 | breadth 100.0
2026-07-04 00:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 01:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 02:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 03:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 04:00:00,BULL,77.14500000000001,66.8,91.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 91.5 | breadth 100.0
2026-07-04 05:00:00,BULL,77.14500000000001,66.8,91.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 91.5 | breadth 100.0
2026-07-04 06:00:00,BULL,77.14500000000001,66.8,91.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 91.5 | breadth 100.0
2026-07-04 07:00:00,BULL,77.14500000000001,66.8,91.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 91.5 | breadth 100.0
2026-07-04 08:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 09:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 10:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 11:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 12:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 13:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 14:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 15:00:00,BULL,76.695,66.8,88.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 88.5 | breadth 100.0
2026-07-04 16:00:00,BULL,76.245,66.8,85.5,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 85.5 | breadth 100.0
2026-07-04 17:00:00,BULL,76.42500000000001,66.8,86.7,100.0,True,True,0.75,BTC composite 66.8 | ETH confirmation 86.7 | breadth 100.0
2026-07-04 18:00:00,BULL,74.49,64.1,85.5,100.0,True,True,0.75,BTC composite 64.1 | ETH confirmation 85.5 | breadth 100.0
