open_time,symbol,rank,regime,regime_score,relative_score,momentum_24h,momentum_72h,selected,capital_percent,portfolio_deployed_percent
2026-06-16 12:00:00,DOGEUSDT,6,WATCH,56.0,31.03,-1.8317,-0.1581,False,0.0,50.0
2026-06-16 13:00:00,SOLUSDT,1,STRONG,100.0,98.33,0.4753,8.7768,True,50.0,50.0
2026-06-16 13:00:00,ETHUSDT,2,STRONG,100.0,80.83,-0.8952,7.1429,False,0.0,50.0
2026-06-16 13:00:00,BTCUSDT,3,STRONG,95.0,70.25,-0.5945,3.0409,False,0.0,50.0
2026-06-16 13:00:00,XRPUSDT,4,STRONG,76.0,60.87,-1.1532,6.4715,False,0.0,50.0
2026-06-16 13:00:00,LINKUSDT,5,STRONG,87.0,59.15,-2.5384,3.2649,False,0.0,50.0
2026-06-16 13:00:00,DOGEUSDT,6,SLEEP,1.0,4.62,-3.2105,-0.783,False,0.0,50.0
2026-06-16 14:00:00,SOLUSDT,1,STRONG,83.0,87.35,-1.1379,6.8678,True,30.0,50.0
2026-06-16 14:00:00,ETHUSDT,2,STRONG,92.0,75.57,-1.8732,5.9876,True,20.0,50.0
2026-06-16 14:00:00,BTCUSDT,3,STRONG,83.0,65.68,-1.4066,2.2328,False,0.0,50.0
2026-06-16 14:00:00,XRPUSDT,4,STRONG,76.0,60.03,-2.8124,4.7095,False,0.0,50.0
2026-06-16 14:00:00,LINKUSDT,5,STRONG,83.0,53.18,-3.4654,1.8849,False,0.0,50.0
2026-06-16 14:00:00,DOGEUSDT,6,SLEEP,0.0,8.33,-3.1725,-1.9124,False,0.0,50.0
2026-06-16 15:00:00,SOLUSDT,1,STRONG,83.0,83.18,-2.6047,6.8367,True,30.0,50.0
2026-06-16 15:00:00,ETHUSDT,2,STRONG,84.0,74.47,-3.4185,5.962,True,20.0,50.0
2026-06-16 15:00:00,BTCUSDT,3,STRONG,83.0,70.68,-2.1286,2.4319,False,0.0,50.0
2026-06-16 15:00:00,XRPUSDT,4,ACTIVE,67.0,48.48,-4.6501,4.5906,False,0.0,50.0
2026-06-16 15:00:00,LINKUSDT,5,ACTIVE,69.0,47.72,-4.2518,2.1306,False,0.0,50.0
2026-06-16 15:00:00,DOGEUSDT,6,SLEEP,0.0,11.67,-3.8805,-1.313,False,0.0,50.0
2026-06-16 16:00:00,SOLUSDT,1,ACTIVE,73.0,77.85,-3.1532,7.3421,True,30.0,50.0
2026-06-16 16:00:00,ETHUSDT,2,ACTIVE,73.0,69.52,-3.525,6.0325,True,20.0,50.0
2026-06-16 16:00:00,BTCUSDT,3,ACTIVE,69.0,59.38,-2.0845,2.7002,False,0.0,50.0
2026-06-16 16:00:00,XRPUSDT,4,ACTIVE,62.0,47.07,-5.2422,5.727,False,0.0,50.0
2026-06-16 16:00:00,LINKUSDT,5,ACTIVE,62.0,44.57,-4.4185,2.2764,False,0.0,50.0
2026-06-16 16:00:00,DOGEUSDT,6,SLEEP,0.0,16.67,-3.9298,-1.5696,False,0.0,50.0
2026-06-16 17:00:00,SOLUSDT,1,STRONG,79.0,78.05,-2.1387,8.3382,True,30.0,50.0
2026-06-16 17:00:00,ETHUSDT,2,STRONG,79.0,77.22,-1.8637,7.2143,True,20.0,50.0
2026-06-16 17:00:00,BTCUSDT,3,ACTIVE,73.0,59.52,-1.3059,3.1383,False,0.0,50.0
2026-06-16 17:00:00,LINKUSDT,4,ACTIVE,66.0,49.7,-2.7905,3.3033,False,0.0,50.0
