window,cohort,feature,regime,signals,false_pct,runner_pct,median_mfe_r,median_mae_r,stopped_pct
2023,CURRENT_FRESH,EMA50_SLOPE,HIGH,3,33.33333333333333,33.33333333333333,0.5381764216768726,0.9355990099921124,66.66666666666666
2023,CURRENT_FRESH,HOTNESS,LOW,16,31.25,18.75,0.5953156821025032,0.8106501609016719,68.75
2023,CURRENT_FRESH,HOTNESS,MID,7,42.857142857142854,28.57142857142857,0.5381764216768726,0.8815020336898188,71.42857142857143
2023,CURRENT_FRESH,HOTNESS,HIGH,0,,,,,
2023,CURRENT_STALE,ADX,LOW,13,46.15384615384615,23.076923076923077,0.5983674632081015,0.6224463599402823,84.61538461538461
2023,CURRENT_STALE,ADX,MID,19,42.10526315789473,26.31578947368421,0.7501851484284237,0.7715166206441936,78.94736842105263
2023,CURRENT_STALE,ADX,HIGH,25,40.0,24.0,0.7124826671804823,0.7902909898648355,88.0
2023,CURRENT_STALE,EMA50_SLOPE,LOW,13,23.076923076923077,53.84615384615385,2.0357680757618244,0.6201594825760165,69.23076923076923
2023,CURRENT_STALE,EMA50_SLOPE,MID,17,47.05882352941176,17.647058823529413,0.5983674632081015,0.7340092362440189,88.23529411764706
2023,CURRENT_STALE,EMA50_SLOPE,HIGH,27,48.148148148148145,14.814814814814813,0.68533046777341,0.7902909898648355,88.88888888888889
2023,CURRENT_STALE,HOTNESS,LOW,12,33.33333333333333,50.0,1.8313682612969728,0.6213029212581493,75.0
2023,CURRENT_STALE,HOTNESS,MID,19,31.57894736842105,21.052631578947366,0.8785381661285038,0.761722580017594,78.94736842105263
2023,CURRENT_STALE,HOTNESS,HIGH,26,53.84615384615385,15.384615384615385,0.3726473681953617,0.7987616689344728,92.3076923076923
2023,FRESH_POLICY_12H,ADX,LOW,17,35.294117647058826,17.647058823529413,0.5381764216768726,0.8102871377379246,70.58823529411765
2023,FRESH_POLICY_12H,ADX,MID,5,20.0,40.0,1.5318027907105956,0.7640152589072337,60.0
2023,FRESH_POLICY_12H,ADX,HIGH,4,50.0,50.0,1.8439803202159817,0.6460970695120865,50.0
2023,FRESH_POLICY_12H,EMA50_SLOPE,LOW,18,33.33333333333333,16.666666666666664,0.5953156821025032,0.8458945857138718,72.22222222222221
2023,FRESH_POLICY_12H,EMA50_SLOPE,MID,5,40.0,60.0,2.3328222921216804,0.4885029746175374,40.0
2023,FRESH_POLICY_12H,EMA50_SLOPE,HIGH,3,33.33333333333333,33.33333333333333,0.5381764216768726,0.9355990099921124,66.66666666666666
2023,FRESH_POLICY_12H,HOTNESS,LOW,16,25.0,25.0,0.788177401432212,0.7480162306230993,62.5
2023,FRESH_POLICY_12H,HOTNESS,MID,9,44.44444444444444,33.33333333333333,0.5381764216768726,0.7640152589072337,66.66666666666666
2023,FRESH_POLICY_12H,HOTNESS,HIGH,1,100.0,0.0,0.1722195352299836,0.8036911644066355,100.0
2024,CURRENT_12H,ADX,LOW,24,25.0,37.5,1.2251374717526884,0.8622106362927957,79.16666666666666
2024,CURRENT_12H,ADX,MID,18,27.77777777777778,38.88888888888889,1.0443724540685033,0.6784259137004507,72.22222222222221
2024,CURRENT_12H,ADX,HIGH,24,54.166666666666664,16.666666666666664,0.3362389515507299,0.8181476364555984,87.5
2024,CURRENT_12H,EMA50_SLOPE,LOW,22,18.181818181818183,45.45454545454545,1.328894136240769,0.7291699713241333,72.72727272727273
2024,CURRENT_12H,EMA50_SLOPE,MID,22,40.909090909090914,31.818181818181817,0.8003270873020103,0.8139404042559151,68.18181818181817
2024,CURRENT_12H,EMA50_SLOPE,HIGH,22,50.0,13.636363636363635,0.4883080767849308,0.8181476364555984,100.0
2024,CURRENT_12H,HOTNESS,LOW,18,22.22222222222222,44.44444444444444,1.328894136240769,0.8543741151196549,72.22222222222221
2024,CURRENT_12H,HOTNESS,MID,23,26.08695652173913,30.434782608695656,1.0416617706932725,0.706131373967473,78.26086956521739
2024,CURRENT_12H,HOTNESS,HIGH,25,56.00000000000001,20.0,0.328289004048439,0.8038060727218445,88.0
2024,CURRENT_FRESH,ADX,LOW,13,23.076923076923077,46.15384615384615,1.5438474771675128,0.8672999654012008,76.92307692307693
2024,CURRENT_FRESH,ADX,MID,4,0.0,75.0,4.940926914705827,0.5276256625173237,25.0
2024,CURRENT_FRESH,ADX,HIGH,1,0.0,0.0,0.9041788294973798,0.9795270652888124,100.0
2024,CURRENT_FRESH,EMA50_SLOPE,LOW,17,17.647058823529413,52.94117647058824,2.329986098598277,0.7522085686807934,64.70588235294117
2024,CURRENT_FRESH,EMA50_SLOPE,MID,1,0.0,0.0,0.9041788294973798,0.9795270652888124,100.0
2024,CURRENT_FRESH,EMA50_SLOPE,HIGH,0,,,,,
2024,CURRENT_FRESH,HOTNESS,LOW,14,21.428571428571427,50.0,1.936916787882895,0.8594634442280601,71.42857142857143
2024,CURRENT_FRESH,HOTNESS,MID,4,0.0,50.0,1.892970418779849,0.6103270070603564,50.0
2024,CURRENT_FRESH,HOTNESS,HIGH,0,,,,,
2024,CURRENT_STALE,ADX,LOW,11,27.27272727272727,27.27272727272727,1.113940795314025,0.8571213071843905,81.81818181818183
2024,CURRENT_STALE,ADX,MID,14,35.714285714285715,28.57142857142857,0.785630150584444,0.7508259108858,85.71428571428571
2024,CURRENT_STALE,ADX,HIGH,23,56.52173913043478,17.391304347826086,0.328289004048439,0.8038060727218445,86.95652173913044
2024,CURRENT_STALE,EMA50_SLOPE,LOW,5,20.0,20.0,0.5990845055130184,0.706131373967473,100.0
2024,CURRENT_STALE,EMA50_SLOPE,MID,21,42.857142857142854,33.33333333333333,0.6964753451066408,0.8056203395356559,66.66666666666666
2024,CURRENT_STALE,EMA50_SLOPE,HIGH,22,50.0,13.636363636363635,0.4883080767849308,0.8181476364555984,100.0
2024,CURRENT_STALE,HOTNESS,LOW,4,25.0,25.0,0.8565126504135216,0.8065823593574337,75.0
2024,CURRENT_STALE,HOTNESS,MID,19,31.57894736842105,26.31578947368421,1.0416617706932725,0.8056203395356559,84.21052631578947
2024,CURRENT_STALE,HOTNESS,HIGH,25,56.00000000000001,20.0,0.328289004048439,0.8038060727218445,88.0
2024,FRESH_POLICY_12H,ADX,LOW,13,23.076923076923077,46.15384615384615,1.5438474771675128,0.8672999654012008,76.92307692307693
2024,FRESH_POLICY_12H,ADX,MID,5,0.0,80.0,3.025902301504985,0.4853177643473632,20.0
2024,FRESH_POLICY_12H,ADX,HIGH,2,50.0,0.0,0.5297245408357706,0.8468851126449857,100.0
2024,FRESH_POLICY_12H,EMA50_SLOPE,LOW,17,17.647058823529413,52.94117647058824,2.329986098598277,0.7522085686807934,64.70588235294117
2024,FRESH_POLICY_12H,EMA50_SLOPE,MID,1,0.0,0.0,0.9041788294973798,0.9795270652888124,100.0
2024,FRESH_POLICY_12H,EMA50_SLOPE,HIGH,2,50.0,50.0,1.590586276839573,0.5496789991872612,50.0
2024,FRESH_POLICY_12H,HOTNESS,LOW,14,21.428571428571427,50.0,1.936916787882895,0.8594634442280601,71.42857142857143
2024,FRESH_POLICY_12H,HOTNESS,MID,5,0.0,60.0,2.8817620080623185,0.5699335606872843,40.0
2024,FRESH_POLICY_12H,HOTNESS,HIGH,1,100.0,0.0,0.1552702521741614,0.714243160001159,100.0
2025h1,CURRENT_12H,ADX,LOW,12,41.66666666666667,25.0,1.0229018052355432,0.8552574708902454,83.33333333333334
2025h1,CURRENT_12H,ADX,MID,8,37.5,50.0,1.7350029333671573,0.8448660603700302,87.5
2025h1,CURRENT_12H,ADX,HIGH,13,46.15384615384615,7.6923076923076925,0.5311079291954672,0.8630503849426386,84.61538461538461
2025h1,CURRENT_12H,EMA50_SLOPE,LOW,11,27.27272727272727,36.36363636363637,1.2442766573034711,0.6467559699103795,72.72727272727273
