window,decision_time,signal_score,relative_strength,market_state,entry_price,stop_price,risk_per_unit,reward_risk,current_near_high,previous_near_high,fresh_zone,actual_cross,mfe_r,mae_r,mfe_class,reached_0_5r,reached_1r,reached_2r,stopped_before_horizon,stop_time,bars_before_stop_or_horizon,current_policy,current_12h_selected,fresh_12h_selected,adx14,ema50_slope_12h,adx_rank,slope_rank,hotness_rank,adx_regime,slope_regime,hotness_regime,current_fresh,current_stale,causal_history_count,causal_adx_rank,causal_slope_rank,causal_hotness_rank,v3jc_stale_hot_reject,v3jc_gate_keep,v3jc_12h_selected,baseline_stale_hot_removed,volume_ratio,momentum_24h,momentum_72h,ema20_distance_atr,ema50_distance_atr,ema200_distance_atr,outcome_class
2021,2021-08-14 19:00:00,95.0,66.66666666666666,STRONG_BULL,27.068,26.641386516616542,0.4266134833834556,2.2,False,False,False,False,0.5438177859734202,0.5953867139536632,MIDDLE_0.5-2R,True,False,False,True,2021-08-14 20:30:00,5,True,False,False,19.235126178652603,1.1294007451444266,0.3396226415094339,0.4150943396226415,0.3773584905660377,MID,MID,MID,False,False,31,0.4375,0.53125,0.484375,False,True,False,False,0.49564057223367136,2.2128238048485738,1.3061866087802798,0.020327733738064048,0.9378850433003613,4.122623962003114,MIDDLE_0.5-2R
2021,2021-08-14 20:00:00,100.0,66.66666666666666,STRONG_BULL,27.217,26.764806321557053,0.4521936784429456,2.200000000000001,False,False,False,False,0.0,0.8801538344597098,FALSE_<0.5R,False,False,False,True,2021-08-14 20:30:00,1,True,False,False,18.497630316473543,1.010192010522748,0.3018867924528302,0.3018867924528302,0.3018867924528302,LOW,LOW,LOW,False,False,32,0.3939393939393939,0.3939393939393939,0.3939393939393939,False,True,False,False,0.971929851970733,1.75340212352324,2.643686830592862,0.3022451923801972,1.2009454781501385,4.384892031909945,FALSE_<0.5R
2021,2021-08-21 02:00:00,95.0,83.33333333333334,STRONG_BULL,28.483,27.864666565634224,0.6183334343657769,2.199999999999997,False,False,False,False,1.0884095256635973,0.8134769560308929,MIDDLE_0.5-2R,True,True,False,True,2021-08-21 19:30:00,69,True,True,False,31.615269559818834,2.3856302139019903,0.8301886792452831,0.8490566037735849,0.839622641509434,HIGH,HIGH,HIGH,False,True,33,0.8529411764705882,0.8529411764705882,0.8529411764705882,True,False,False,True,0.6724604668431036,4.494093477144334,8.984120910656213,0.7858945575313961,2.002677856963604,3.214658251475254,MIDDLE_0.5-2R
2021,2021-08-21 04:00:00,100.0,83.33333333333334,STRONG_BULL,28.796,27.86434821220502,0.93165178779498,2.200000000000001,True,False,True,False,0.3864104644204486,0.8758637193530171,FALSE_<0.5R,False,False,False,True,2021-08-21 19:30:00,61,True,False,True,30.154332597483457,2.228139525934192,0.8113207547169812,0.7924528301886793,0.8018867924528302,HIGH,HIGH,HIGH,False,False,34,0.8285714285714286,0.8,0.8142857142857143,False,True,True,False,0.7746012393552716,6.9648230006314815,9.832939202074908,1.1822338865150703,2.4053572101036265,3.7144207614734976,FALSE_<0.5R
2021,2021-09-06 13:00:00,100.0,100.0,STRONG_BULL,33.96,33.380091025486124,0.5799089745138772,2.199999999999996,False,False,False,False,4.086848288538227,0.6207870818032747,RUNNER_>=2R,True,True,True,True,2021-09-07 08:30:00,77,True,True,False,41.50962234637473,3.551351942156744,0.9622641509433962,1.0,0.981132075471698,HIGH,HIGH,HIGH,False,True,35,1.0,1.0,1.0,True,False,False,True,2.2903254856996518,10.009718172983483,9.090909090909104,0.8041712690098409,2.7184813462462594,6.709174473065185,RUNNER_>=2R
2021,2021-09-07 05:00:00,95.0,83.33333333333334,STRONG_BULL,34.87,34.21490872085714,0.6550912791428587,2.2,False,False,False,False,0.7174572688785725,0.6869271723305329,MIDDLE_0.5-2R,True,False,False,True,2021-09-07 07:15:00,8,True,True,False,22.175036441976307,2.634742561811243,0.5283018867924528,0.9056603773584906,0.7169811320754718,MID,HIGH,HIGH,False,True,36,0.5675675675675675,0.8648648648648649,0.7162162162162162,True,False,False,True,0.6365098045168314,4.338719329742657,14.666228214403155,0.28745957206122175,1.866354556988855,6.325942273463306,MIDDLE_0.5-2R
2021,2021-09-07 06:00:00,95.0,66.66666666666666,STRONG_BULL,35.09,34.259114647265214,0.8308853527347893,2.2,False,False,False,False,0.3008838694497935,0.8063687701254488,FALSE_<0.5R,False,False,False,True,2021-09-07 07:15:00,4,True,False,False,20.72089581923329,2.493560350980606,0.4528301886792453,0.8867924528301887,0.6698113207547169,MID,HIGH,HIGH,False,False,37,0.4736842105263157,0.8421052631578947,0.6578947368421052,False,True,True,False,0.6359377198263152,3.6632200886262956,15.200262639527251,0.5499180922693948,2.1148408824295624,6.63491322510514,FALSE_<0.5R
2021,2021-10-02 12:00:00,100.0,66.66666666666666,STRONG_BULL,26.26,25.780858724320915,0.4791412756790869,2.2,False,False,False,False,3.965427518860964,0.1252240269114037,RUNNER_>=2R,True,True,True,False,,144,True,True,False,42.418713361700846,2.09346768967702,0.981132075471698,0.7358490566037735,0.8584905660377358,HIGH,HIGH,HIGH,False,True,38,1.0,0.6666666666666666,0.8333333333333333,True,False,False,True,0.8503922543802911,1.0777521170130866,10.801687763713087,0.7666377650810964,2.7940831326967723,5.1849939913531395,RUNNER_>=2R
2021,2021-10-08 08:00:00,98.0,66.66666666666666,STRONG_BULL,27.02,26.65313526890553,0.3668647310944735,2.200000000000004,True,False,True,False,1.1993521391040838,0.8995141043280557,MIDDLE_0.5-2R,True,True,False,True,2021-10-08 12:30:00,17,True,True,True,11.430013895586107,-0.0397617841013997,0.0377358490566037,0.0377358490566037,0.0377358490566037,LOW,LOW,LOW,True,False,39,0.05,0.05,0.05,False,True,True,False,1.696010171595209,-0.22156573116690614,2.0007550018874998,0.3887987554483232,0.4355925751844833,1.8786264189516961,MIDDLE_0.5-2R
2021,2021-10-16 09:00:00,100.0,83.33333333333334,STRONG_BULL,27.68,26.84218485137694,0.8378151486230614,2.2,True,False,True,True,1.2174523242702842,0.9787361822565036,MIDDLE_0.5-2R,True,True,False,True,2021-10-17 15:15:00,120,True,True,True,27.37110508986403,1.040516497317978,0.660377358490566,0.3396226415094339,0.5,MID,MID,MID,True,False,40,0.7317073170731707,0.3902439024390244,0.5609756097560976,False,True,True,False,1.605093015826501,5.367339170156082,13.909465020576128,1.5814572710382502,2.438838926191242,3.7409785059609524,MIDDLE_0.5-2R
2021,2021-10-16 14:00:00,100.0,100.0,STRONG_BULL,27.95,27.070305578204263,0.8796944217957368,2.2000000000000006,False,False,False,False,0.8525687800418364,0.920774282445182,MIDDLE_0.5-2R,True,False,False,True,2021-10-17 00:15:00,40,True,False,False,29.60328855801565,1.396478426940706,0.7924528301886793,0.5094339622641509,0.6509433962264151,HIGH,MID,MID,False,False,41,0.7857142857142857,0.5238095238095238,0.6547619047619048,False,True,False,False,1.3833970501502433,5.273069679849329,14.081632653061217,1.2462933518348047,2.189666561636019,3.5481828646868325,MIDDLE_0.5-2R
2021,2021-10-26 03:00:00,95.0,100.0,STRONG_BULL,32.18,31.77548682779291,0.4045131722070891,2.199999999999993,False,False,False,False,0.1730475168906589,0.8405165106117681,FALSE_<0.5R,False,False,False,True,2021-10-26 04:45:00,6,True,True,False,38.02515347770491,2.3849478576203342,0.9433962264150944,0.8301886792452831,0.8867924528301887,HIGH,HIGH,HIGH,False,True,42,0.9534883720930232,0.7906976744186046,0.872093023255814,True,False,False,True,0.36743758632114976,6.485771012574459,12.203626220362619,0.6393449376197929,2.367867008517162,6.864587005710515,FALSE_<0.5R
2021,2021-10-26 09:00:00,100.0,83.33333333333334,STRONG_BULL,32.04,31.6626807354138,0.3773192645862018,2.1999999999999944,False,False,False,False,0.9540991775090094,0.7420771380625576,MIDDLE_0.5-2R,True,False,False,True,2021-10-26 14:15:00,20,True,False,False,29.12535403303551,1.5746299271349071,0.7735849056603774,0.6037735849056604,0.6886792452830188,HIGH,MID,HIGH,False,False,43,0.75,0.5909090909090909,0.6704545454545454,True,False,False,False,0.9558478880061912,2.2661985317586897,5.498847546921293,0.2912230730887845,1.8545689673176038,6.930282099542558,MIDDLE_0.5-2R
2021,2021-10-26 10:00:00,99.0,66.66666666666666,STRONG_BULL,32.25,31.69337606502246,0.5566239349775408,2.200000000000004,True,False,True,True,0.2694817642113268,0.8803070964236732,FALSE_<0.5R,False,False,False,True,2021-10-26 14:15:00,16,True,False,True,28.49794418973376,1.5062459275809514,0.7358490566037735,0.5660377358490566,0.6509433962264151,HIGH,MID,MID,False,False,44,0.7333333333333333,0.5555555555555556,0.6444444444444444,False,True,True,False,0.5976631144925857,2.0246757355267375,6.576338400528736,0.736246479542788,2.281436371974382,7.367986330784141,FALSE_<0.5R
2021,2021-10-26 19:00:00,100.0,66.66666666666666,STRONG_BULL,32.69,31.70961869240817,0.9803813075918236,2.2,True,False,True,True,1.2444137710017815,0.9894109490751868,MIDDLE_0.5-2R,True,True,False,True,2021-10-27 08:00:00,51,True,True,False,20.25937920537796,0.9483600914396152,0.4150943396226415,0.2830188679245283,0.3490566037735849,MID,LOW,MID,True,False,45,0.4130434782608695,0.3043478260869565,0.3586956521739131,False,True,False,False,2.0554308922910582,0.7706535141800197,6.586240626018891,1.5602190522241903,2.5836519897115053,7.101723019946564,MIDDLE_0.5-2R
